instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,77.49924270017073,,False,3,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,0,0,0,None,,,,,,,,,,,,,0,0,0,0,,,,,101.0531370001845,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,[8.770037400070578],None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,1,0,1,None,,,,,,,,,,,,,1,0,1,0,,,,,111.32423159992322,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[0.5398599999025464],None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,2,0,2,None,,,,,,,,,,,,,2,0,2,0,,,,,122.26508049992844,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[],None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,134.41973860003054,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,[0.4468267001211643],None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,4,0,4,None,,,,,,,,,,,,,4,0,4,0,,,,,145.0734183001332,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,155.32653560023755,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,165.1810658001341,,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,"[3.4336233003996313, 7.285678700078279, 10.826101700309664]",None,,,,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
,7,0,7,2,8.465021399781108,None,,,,,,,,,,,7,0,7,0,,,,,179.83777880016714,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,True,"[1.7369248000904918, 9.821826900355518]",2,2,8.465021399781108,None,,,,,,,,,,,,119,A,2026-04-04_21h02.32.580,exp_sofc_final,,2026.1.2,59.247462439450665,2026-04-04 21h02.35.391610 +0200,
