instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.
,11,0,11,None,,,,,,,,,,,,,11,0,11,0,,,,,187.81207500000164,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[],None,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,0,0,0,,,,None,None,,,,,,,,,,,,,0,0,0,0,207.02998254200065,,,,,,,,,,,,,,,clips/clip_lied_06_nosub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,1,0,1,,,,None,None,,,,,,,,,,,,,1,0,1,0,220.39399299999786,,,,,,,,,,,,,,,clips/clip_hund_17_nosub_1.mp4,audios/silence.mp3,visual,[10.11187674899702],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,2,0,2,,,,None,None,,,,,,,,,,,,,2,0,2,0,233.45858095899894,,,,,,,,,,,,,,,clips/clip_lied_21_sub_2.mp4,audios/silence.mp3,visual,"[5.190148125002452, 11.339007333001064]",None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,3,0,3,,,,None,None,,,,,,,,,,,,,3,0,3,0,245.74923162499908,,,,,,,,,,,,,,,clips/clip_lied_19_nosub_1.mp4,audios/silence.mp3,visual,[5.046019416004128],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,4,0,4,,,,None,None,,,,,,,,,,,,,4,0,4,0,257.2062961249976,,,,,,,,,,,,,,,clips/clip_hund_27_nosub_1.mp4,audios/silence.mp3,visual,[4.703930540999863],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,5,0,5,,,,1,None,5.455724416999146,None,,,,,,,,,,,5,0,5,0,268.2057618339968,,,,,,,,,,,,,,,clips/clip_wurst_13_sub_0.mp4,audios/silence.mp3,visual,[],1,None,2,5.455724416999146,None,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,6,0,6,,,,None,None,,,,,,,,,,,,,6,0,6,0,284.12030441700335,,,,,,,,,,,,,,,clips/clip_hund_20_sub_0.mp4,audios/clip_hund_20_sub_0.mp3,audiovisual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,7,0,7,,,,None,None,,,,,,,,,,,,,7,0,7,0,296.40362054199795,,,,,,,,,,,,,,,clips/clip_hund_30_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,8,0,8,,,,None,None,,,,,,,,,,,,,8,0,8,0,309.20045866700093,,,,,,,,,,,,,,,clips/clip_wurst_14_sub_1.mp4,audios/clip_wurst_14_sub_1.mp3,audiovisual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,9,0,9,,,,None,None,,,,,,,,,,,,,9,0,9,0,320.0042360840016,,,,,,,,,,,,,,,clips/clip_wurst_28_nosub_1.mp4,audios/clip_wurst_28_nosub_1.mp3,audiovisual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,10,0,10,,,,None,None,,,,,,,,,,,,,10,0,10,0,331.105256750001,,,,,,,,,,,,,,,clips/clip_hund_15_sub_1.mp4,audios/silence.mp3,visual,[8.319777041004272],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,11,0,11,,,,None,None,,,,,,,,,,,,,11,0,11,0,342.3156889590027,,,,,,,,,,,,,,,clips/clip_claude_09_nosub_2.mp4,audios/silence.mp3,visual,[4.019185375000234],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,12,0,12,,,,None,None,,,,,,,,,,,,,12,0,12,0,353.3080009589976,,,,,,,,,,,,,,,clips/clip_herz_13_sub_0.mp4,audios/silence.mp3,visual,[7.668940374998783],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,13,0,13,,,,None,None,,,,,,,,,,,,,13,0,13,0,365.2773040000029,,,,,,,,,,,,,,,clips/clip_hund_03_sub_1.mp4,audios/clip_hund_03_sub_1.mp3,audiovisual,[6.599048042000504],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,14,0,14,,,,None,None,,,,,,,,,,,,,14,0,14,0,377.928469708997,,,,,,,,,,,,,,,clips/clip_dampf_02_nosub_1.mp4,audios/clip_dampf_02_nosub_1.mp3,audiovisual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,15,0,15,,,,None,None,,,,,,,,,,,,,15,0,15,0,388.02932950000104,,,,,,,,,,,,,,,clips/clip_dampf_01_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,16,0,16,,,,None,None,,,,,,,,,,,,,16,0,16,0,398.2733888750008,,,,,,,,,,,,,,,clips/clip_holo_23_nosub_1.mp4,audios/clip_holo_23_nosub_1.mp3,audiovisual,[],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,17,0,17,,,,None,None,,,,,,,,,,,,,17,0,17,0,409.09060624999984,,,,,,,,,,,,,,,clips/clip_holo_26_sub_2.mp4,audios/clip_holo_26_sub_2.mp3,audiovisual,"[6.443142875003105, 8.510317291998945]",None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,18,0,18,,,,None,None,,,,,,,,,,,,,18,0,18,0,419.02837920899765,,,,,,,,,,,,,,,clips/clip_claude_15_sub_0.mp4,audios/silence.mp3,visual,[8.897285540995654],None,None,,,,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
,19,0,19,,,,4,None,2.6067827500010026,None,,,,,,,,,,,19,0,19,0,431.8207087920018,,,,,,,,,,,,,,,clips/clip_herz_17_sub_0.mp4,audios/silence.mp3,visual,[5.529900875000749],4,None,4,2.6067827500010026,None,,,100,A,2026-03-29_19h28.30.736,exp_sofc_final,,2025.2.3,None,2026-03-29 19h28.32.062327 +0200,
