instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,23.127654199954122,,False,2,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,10,0,10,None,,,,,,,,,,,,,10,0,10,0,,,,,248.00815390003845,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,11,0,11,None,,,,,,,,,,,,,11,0,11,0,,,,,257.9746288000606,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,[],None,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,0,0,0,,,,None,None,,,,,,,,,,,,,0,0,0,0,297.8824803000316,,,,,,,,,,,,,,,,clips/clip_hund_14_sub_2.mp4,audios/clip_hund_14_sub_2.mp3,audiovisual,[5.952763000037521],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,1,0,1,,,,None,None,,,,,,,,,,,,,1,0,1,0,308.5351579003036,,,,,,,,,,,,,,,,clips/clip_weißt_25_nosub_1.mp4,audios/silence.mp3,visual,[0.2802267000079155],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,2,0,2,,,,None,None,,,,,,,,,,,,,2,0,2,0,321.43111820006743,,,,,,,,,,,,,,,,clips/clip_claude_27_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,3,0,3,,,,None,None,,,,,,,,,,,,,3,0,3,0,334.4414645000361,,,,,,,,,,,,,,,,clips/clip_claude_29_nosub_0.mp4,audios/clip_claude_29_nosub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,4,0,4,,,,None,None,,,,,,,,,,,,,4,0,4,0,345.2820032001473,,,,,,,,,,,,,,,,clips/clip_claude_17_sub_1.mp4,audios/silence.mp3,visual,[10.528905399609357],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,5,0,5,,,,None,None,,,,,,,,,,,,,5,0,5,0,357.7158842002973,,,,,,,,,,,,,,,,clips/clip_wurst_12_sub_0.mp4,audios/clip_wurst_12_sub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,6,0,6,,,,None,None,,,,,,,,,,,,,6,0,6,0,367.2531961002387,,,,,,,,,,,,,,,,clips/clip_wurst_24_sub_1.mp4,audios/clip_wurst_24_sub_1.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
