instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,2,0,2,,,,None,None,,,,,,,,,,,,,2,0,2,0,229.79015345900552,,,,,,,,,,,,,,,clips/clip_holo_15_nosub_0.mp4,audios/clip_holo_15_nosub_0.mp3,audiovisual,[6.464248415984912],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,3,0,3,,,,1,None,24.48792029102333,None,,,,,,,,,,,3,0,3,0,239.73877525000717,,,,,,,,,,,,,,,clips/clip_lied_04_sub_0.mp4,audios/silence.mp3,visual,[],1,None,1,24.48792029102333,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,4,0,4,,,,None,None,,,,,,,,,,,,,4,0,4,0,276.0426467920188,,,,,,,,,,,,,,,clips/clip_herz_16_nosub_0.mp4,audios/clip_herz_16_nosub_0.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,5,0,5,,,,None,None,,,,,,,,,,,,,5,0,5,0,285.8247643340146,,,,,,,,,,,,,,,clips/clip_herz_10_sub_0.mp4,audios/clip_herz_10_sub_0.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,6,0,6,,,,None,None,,,,,,,,,,,,,6,0,6,0,296.59301820900873,,,,,,,,,,,,,,,clips/clip_claude_07_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,7,0,7,,,,4,None,18.212758125009714,None,,,,,,,,,,,7,0,7,0,307.408437917009,,,,,,,,,,,,,,,clips/clip_hund_05_nosub_0.mp4,audios/clip_hund_05_nosub_0.mp3,audiovisual,[4.552300083014416],4,None,3,18.212758125009714,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,8,0,8,,,,None,None,,,,,,,,,,,,,8,0,8,0,337.43437254201854,,,,,,,,,,,,,,,clips/clip_lied_21_sub_2.mp4,audios/silence.mp3,visual,[5.498489499004791],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,9,0,9,,,,None,None,,,,,,,,,,,,,9,0,9,0,349.7132212500146,,,,,,,,,,,,,,,clips/clip_hund_32_sub_1.mp4,audios/clip_hund_32_sub_1.mp3,audiovisual,[6.307754081994062],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,10,0,10,,,,None,None,,,,,,,,,,,,,10,0,10,0,360.5057217090216,,,,,,,,,,,,,,,clips/clip_lied_16_nosub_2.mp4,audios/clip_lied_16_nosub_2.mp3,audiovisual,[3.8953385410131887],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,11,0,11,,,,1,None,3.555786832992453,None,,,,,,,,,,,11,0,11,0,371.90447350000613,,,,,,,,,,,,,,,clips/clip_claude_14_nosub_0.mp4,audios/clip_claude_14_nosub_0.mp3,audiovisual,[],1,None,1,3.555786832992453,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,12,0,12,,,,None,None,,,,,,,,,,,,,12,0,12,0,387.38398379200953,,,,,,,,,,,,,,,clips/clip_claude_05_nosub_2.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,13,0,13,,,,1,None,4.0379991660011,None,,,,,,,,,,,13,0,13,0,399.44697916699806,,,,,,,,,,,,,,,clips/clip_hund_16_sub_1.mp4,audios/clip_hund_16_sub_1.mp3,audiovisual,[],1,None,4,4.0379991660011,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,14,0,14,,,,None,None,,,,,,,,,,,,,14,0,14,0,415.113138375018,,,,,,,,,,,,,,,clips/clip_claude_03_sub_1.mp4,audios/silence.mp3,visual,[5.327606540988199],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,15,0,15,,,,None,None,,,,,,,,,,,,,15,0,15,0,427.3794194590009,,,,,,,,,,,,,,,clips/clip_claude_15_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,16,0,16,,,,None,None,,,,,,,,,,,,,16,0,16,0,440.1797172499937,,,,,,,,,,,,,,,clips/clip_hund_19_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,17,0,17,,,,None,None,,,,,,,,,,,,,17,0,17,0,452.3051384590217,,,,,,,,,,,,,,,clips/clip_holo_20_sub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,18,0,18,,,,None,None,,,,,,,,,,,,,18,0,18,0,462.48862525000004,,,,,,,,,,,,,,,clips/clip_wurst_31_nosub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,19,0,19,,,,None,None,,,,,,,,,,,,,19,0,19,0,474.3225887090084,,,,,,,,,,,,,,,clips/clip_weißt_25_sub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,20,0,20,,,,None,None,,,,,,,,,,,,,20,0,20,0,487.1079529169947,,,,,,,,,,,,,,,clips/clip_hund_09_nosub_2.mp4,audios/silence.mp3,visual,"[5.553897957986919, 10.97499004099518]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,21,0,21,,,,None,None,,,,,,,,,,,,,21,0,21,0,499.44646691699745,,,,,,,,,,,,,,,clips/clip_dampf_05_nosub_2.mp4,audios/silence.mp3,visual,"[3.565597708016867, 8.653274416021304]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,22,0,22,,,,None,None,,,,,,,,,,,,,22,0,22,0,508.91425512501155,,,,,,,,,,,,,,,clips/clip_wurst_13_sub_0.mp4,audios/silence.mp3,visual,[7.901064456993481],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,23,0,23,,,,2,None,3.5814068320032675,None,,,,,,,,,,,23,0,23,0,519.3343885000213,,,,,,,,,,,,,,,clips/clip_weißt_06_nosub_0.mp4,audios/silence.mp3,visual,[6.09642949901172],2,None,2,3.5814068320032675,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,24,0,24,,,,None,None,,,,,,,,,,,,,24,0,24,0,534.0672578340163,,,,,,,,,,,,,,,clips/clip_hund_12_sub_1.mp4,audios/clip_hund_12_sub_1.mp3,audiovisual,[10.529850916005671],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,25,0,25,,,,None,None,,,,,,,,,,,,,25,0,25,0,546.0075276250136,,,,,,,,,,,,,,,clips/clip_hund_36_sub_2.mp4,audios/silence.mp3,visual,"[2.9618097499769647, 6.181796457996825]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,26,0,26,,,,None,None,,,,,,,,,,,,,26,0,26,0,555.9368122089945,,,,,,,,,,,,,,,clips/clip_claude_17_nosub_1.mp4,audios/silence.mp3,visual,[10.33464204100892],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,27,0,27,,,,None,None,,,,,,,,,,,,,27,0,27,0,568.2143300000171,,,,,,,,,,,,,,,clips/clip_hund_11_sub_1.mp4,audios/silence.mp3,visual,[6.3028315829869825],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,28,0,28,,,,None,None,,,,,,,,,,,,,28,0,28,0,578.7073596669943,,,,,,,,,,,,,,,clips/clip_hund_10_nosub_0.mp4,audios/clip_hund_10_nosub_0.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,29,0,29,,,,None,None,,,,,,,,,,,,,29,0,29,0,588.9997577090107,,,,,,,,,,,,,,,clips/clip_weißt_13_nosub_0.mp4,audios/clip_weißt_13_nosub_0.mp3,audiovisual,[11.493852415995207],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,30,0,30,,,,None,None,,,,,,,,,,,,,30,0,30,0,600.5832782500074,,,,,,,,,,,,,,,clips/clip_claude_25_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,31,0,31,,,,None,None,,,,,,,,,,,,,31,0,31,0,611.5861833340023,,,,,,,,,,,,,,,clips/clip_wurst_10_sub_2.mp4,audios/clip_wurst_10_sub_2.mp3,audiovisual,"[0.4633578319917433, 5.272280041011982, 8.096322916011559]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,32,0,32,,,,None,None,,,,,,,,,,,,,32,0,32,0,621.1542864170042,,,,,,,,,,,,,,,clips/clip_claude_16_sub_1.mp4,audios/clip_claude_16_sub_1.mp3,audiovisual,[9.16202579101082],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,33,0,33,,,,None,None,,,,,,,,,,,,,33,0,33,0,633.0974360000109,,,,,,,,,,,,,,,clips/clip_claude_21_nosub_1.mp4,audios/silence.mp3,visual,[9.774574957002187],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,34,0,34,,,,None,None,,,,,,,,,,,,,34,0,34,0,646.1257162090042,,,,,,,,,,,,,,,clips/clip_holo_14_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,35,0,35,,,,None,None,,,,,,,,,,,,,35,0,35,0,656.9180363340129,,,,,,,,,,,,,,,clips/clip_holo_08_sub_2.mp4,audios/silence.mp3,visual,"[4.632217750011478, 9.476476750016445]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,36,0,36,,,,None,None,,,,,,,,,,,,,36,0,36,0,668.5176883749955,,,,,,,,,,,,,,,clips/clip_weißt_26_sub_1.mp4,audios/clip_weißt_26_sub_1.mp3,audiovisual,[7.442812415974913],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,37,0,37,,,,None,None,,,,,,,,,,,,,37,0,37,0,679.4981625000073,,,,,,,,,,,,,,,clips/clip_wurst_07_nosub_0.mp4,audios/clip_wurst_07_nosub_0.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,38,0,38,,,,None,None,,,,,,,,,,,,,38,0,38,0,690.2860597500112,,,,,,,,,,,,,,,clips/clip_herz_03_nosub_2.mp4,audios/silence.mp3,visual,"[5.195814790989971, 11.733700957003748]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,39,0,39,,,,4,None,6.664511415991001,None,,,,,,,,,,,39,0,39,0,703.4585700000171,,,,,,,,,,,,,,,clips/clip_dampf_01_nosub_0.mp4,audios/silence.mp3,visual,[],4,None,4,6.664511415991001,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,40,0,40,,,,None,None,,,,,,,,,,,,,40,0,40,0,720.3858407500084,,,,,,,,,,,,,,,clips/clip_wurst_04_sub_2.mp4,audios/silence.mp3,visual,"[4.62818058297853, 7.770971249992726]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,41,0,41,,,,None,None,,,,,,,,,,,,,41,0,41,0,732.785063917021,,,,,,,,,,,,,,,clips/clip_lied_10_nosub_1.mp4,audios/silence.mp3,visual,[4.67796483298298],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,42,0,42,,,,None,None,,,,,,,,,,,,,42,0,42,0,745.0774362499942,,,,,,,,,,,,,,,clips/clip_holo_02_nosub_2.mp4,audios/silence.mp3,visual,"[4.9875656249932945, 8.278533124976093]",None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,43,0,43,,,,None,None,,,,,,,,,,,,,43,0,43,0,757.0371877920115,,,,,,,,,,,,,,,clips/clip_wurst_19_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,44,0,44,,,,None,None,,,,,,,,,,,,,44,0,44,0,768.8630819170212,,,,,,,,,,,,,,,clips/clip_weißt_11_sub_0.mp4,audios/clip_weißt_11_sub_0.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,45,0,45,,,,None,None,,,,,,,,,,,,,45,0,45,0,779.6555879170191,,,,,,,,,,,,,,,clips/clip_lied_07_nosub_1.mp4,audios/clip_lied_07_nosub_1.mp3,audiovisual,[4.4240344160061795],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,46,0,46,,,,None,None,,,,,,,,,,,,,46,0,46,0,789.4529000000039,,,,,,,,,,,,,,,clips/clip_dampf_04_sub_1.mp4,audios/clip_dampf_04_sub_1.mp3,audiovisual,[5.630071207997389],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,47,0,47,,,,None,None,,,,,,,,,,,,,47,0,47,0,799.8461969170021,,,,,,,,,,,,,,,clips/clip_hund_21_nosub_1.mp4,audios/silence.mp3,visual,[6.3309145829989575],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,48,0,48,,,,None,None,,,,,,,,,,,,,48,0,48,0,810.6355602499971,,,,,,,,,,,,,,,clips/clip_hund_03_sub_1.mp4,audios/clip_hund_03_sub_1.mp3,audiovisual,[6.538682248996338],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,49,0,49,,,,2,None,20.2708340829995,None,,,,,,,,,,,49,0,49,0,823.2891816670017,,,,,,,,,,,,,,,clips/clip_lied_12_sub_0.mp4,audios/silence.mp3,visual,[],2,None,4,20.2708340829995,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,50,0,50,,,,None,None,,,,,,,,,,,,,50,0,50,0,853.4003554590163,,,,,,,,,,,,,,,clips/clip_wurst_30_sub_1.mp4,audios/clip_wurst_30_sub_1.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,51,0,51,,,,3,None,4.243999624013668,None,,,,,,,,,,,51,0,51,0,864.1618109999981,,,,,,,,,,,,,,,clips/clip_hund_22_nosub_1.mp4,audios/clip_hund_22_nosub_1.mp3,audiovisual,[8.438549916027114],3,None,3,4.243999624013668,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,52,0,52,,,,None,None,,,,,,,,,,,,,52,0,52,0,879.237783834018,,,,,,,,,,,,,,,clips/clip_hund_24_sub_1.mp4,audios/clip_hund_24_sub_1.mp3,audiovisual,[8.066998707974562],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,53,0,53,,,,1,None,5.415198832983151,None,,,,,,,,,,,53,0,53,0,892.0117597500212,,,,,,,,,,,,,,,clips/clip_wurst_26_sub_1.mp4,audios/clip_wurst_26_sub_1.mp3,audiovisual,[10.317981125001097],1,None,1,5.415198832983151,None,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,54,0,54,,,,None,None,,,,,,,,,,,,,54,0,54,0,910.2367403340177,,,,,,,,,,,,,,,clips/clip_weißt_29_sub_1.mp4,audios/silence.mp3,visual,[6.941249958006665],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,55,0,55,,,,None,None,,,,,,,,,,,,,55,0,55,0,922.5751921250194,,,,,,,,,,,,,,,clips/clip_hund_23_sub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
