instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,2.5136355420108885,,0,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,0,0,0,None,,,,,,,,,,,,,0,0,0,0,,,,,6.02497912500985,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,[9.161976206989493],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,1,0,1,4,17.02887570799794,None,,,,,,,,,,,1,0,1,0,,,,,16.135769834014354,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,True,[5.339835791004589],4,4,17.02887570799794,None,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,2,0,2,None,,,,,,,,,,,,,2,0,2,0,,,,,45.02658254202106,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[5.372146998997778],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,3,0,3,3,10.935217207996175,None,,,,,,,,,,,3,0,3,0,,,,,57.0653203749971,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,True,[0.4838509580004029],3,1,10.935217207996175,None,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,4,0,4,None,,,,,,,,,,,,,4,0,4,0,,,,,79.70633975000237,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,5,0,5,4,19.380035498994403,None,,,,,,,,,,,5,0,5,0,,,,,90.57144604201312,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,True,"[2.0996111239946913, 6.967403374001151]",4,2,19.380035498994403,None,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,6,0,6,2,5.8212393739959225,None,,,,,,,,,,,6,0,6,0,,,,,119.80766954200226,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,True,[],2,2,5.8212393739959225,None,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,7,0,7,None,,,,,,,,,,,,,7,0,7,0,,,,,136.22367050001048,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,False,[6.734209999005543],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,8,0,8,None,,,,,,,,,,,,,8,0,8,0,,,,,145.27527583402116,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,9,0,9,None,,,,,,,,,,,,,9,0,9,0,,,,,155.44023754200316,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,10,0,10,None,,,,,,,,,,,,,10,0,10,0,,,,,164.66884283401305,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,[6.995618415996432],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,11,0,11,None,,,,,,,,,,,,,11,0,11,0,,,,,177.46181233401876,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,[],None,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,0,0,0,,,,None,None,,,,,,,,,,,,,0,0,0,0,209.07073554201634,,,,,,,,,,,,,,,clips/clip_claude_02_nosub_1.mp4,audios/clip_claude_02_nosub_1.mp3,audiovisual,[5.886876748991199],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
,1,0,1,,,,None,None,,,,,,,,,,,,,1,0,1,0,219.64528033402166,,,,,,,,,,,,,,,clips/clip_lied_05_sub_0.mp4,audios/clip_lied_05_sub_0.mp3,audiovisual,[],None,None,,,,,,112,A,2026-04-03_20h46.53.974,exp_sofc_final,,2025.2.3,None,2026-04-03 20h46.54.874622 +0200,
