instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,8,0,8,None,,,,,,,,,,,,,8,0,8,0,,,,,225.73477316697245,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,[5.332274791988311],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,9,0,9,3,8.481347541994182,None,,,,,,,,,,,9,0,9,0,,,,,237.5422267499962,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,True,[],3,3,8.481347541994182,None,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,10,0,10,None,,,,,,,,,,,,,10,0,10,0,,,,,257.73723662499106,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,False,[],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,11,0,11,None,,,,,,,,,,,,,11,0,11,0,,,,,268.57630699998117,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,[9.342053750006016],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,0,0,0,,,,None,None,,,,,,,,,,,,,0,0,0,0,284.8930620829924,,,,,,,,,,,,,,,clips/clip_dampf_02_nosub_1.mp4,audios/clip_dampf_02_nosub_1.mp3,audiovisual,[4.7624863749952056],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,1,0,1,,,,None,None,,,,,,,,,,,,,1,0,1,0,294.9585102079727,,,,,,,,,,,,,,,clips/clip_claude_11_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,2,0,2,,,,None,None,,,,,,,,,,,,,2,0,2,0,305.75541041698307,,,,,,,,,,,,,,,clips/clip_weißt_07_nosub_1.mp4,audios/clip_weißt_07_nosub_1.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,3,0,3,,,,None,None,,,,,,,,,,,,,3,0,3,0,316.2672061249905,,,,,,,,,,,,,,,clips/clip_wurst_13_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,4,0,4,,,,None,None,,,,,,,,,,,,,4,0,4,0,326.67457624999224,,,,,,,,,,,,,,,clips/clip_wurst_12_nosub_0.mp4,audios/clip_wurst_12_nosub_0.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,5,0,5,,,,None,None,,,,,,,,,,,,,5,0,5,0,336.0754035419959,,,,,,,,,,,,,,,clips/clip_holo_11_nosub_2.mp4,audios/clip_holo_11_nosub_2.mp3,audiovisual,"[5.479559125000378, 9.221673459018348]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,6,0,6,,,,None,None,,,,,,,,,,,,,6,0,6,0,346.4997097919986,,,,,,,,,,,,,,,clips/clip_weißt_04_sub_0.mp4,audios/clip_weißt_04_sub_0.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,7,0,7,,,,None,None,,,,,,,,,,,,,7,0,7,0,357.3344949169841,,,,,,,,,,,,,,,clips/clip_dampf_01_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,8,0,8,,,,None,None,,,,,,,,,,,,,8,0,8,0,367.55591012499644,,,,,,,,,,,,,,,clips/clip_wurst_25_sub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,9,0,9,,,,4,None,12.767141874996014,None,,,,,,,,,,,9,0,9,0,379.53247404197464,,,,,,,,,,,,,,,clips/clip_holo_10_nosub_1.mp4,audios/silence.mp3,visual,[5.921369708987186],4,None,4,12.767141874996014,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,10,0,10,,,,None,None,,,,,,,,,,,,,10,0,10,0,403.0741964999761,,,,,,,,,,,,,,,clips/clip_weißt_16_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,11,0,11,,,,3,None,3.2566883330000564,None,,,,,,,,,,,11,0,11,0,414.3556390419835,,,,,,,,,,,,,,,clips/clip_lied_06_nosub_1.mp4,audios/silence.mp3,visual,[],3,None,3,3.2566883330000564,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,12,0,12,,,,None,None,,,,,,,,,,,,,12,0,12,0,431.0476373329875,,,,,,,,,,,,,,,clips/clip_claude_10_nosub_0.mp4,audios/clip_claude_10_nosub_0.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,13,0,13,,,,None,None,,,,,,,,,,,,,13,0,13,0,443.0039917079848,,,,,,,,,,,,,,,clips/clip_hund_30_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,14,0,14,,,,None,None,,,,,,,,,,,,,14,0,14,0,455.8254719999968,,,,,,,,,,,,,,,clips/clip_herz_07_nosub_2.mp4,audios/silence.mp3,visual,"[4.009022959013237, 10.807914292003261]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,15,0,15,,,,4,None,3.5030979169823695,None,,,,,,,,,,,15,0,15,0,468.623466457997,,,,,,,,,,,,,,,clips/clip_wurst_08_sub_1.mp4,audios/silence.mp3,visual,[5.318659041018691],4,None,4,3.5030979169823695,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,16,0,16,,,,None,None,,,,,,,,,,,,,16,0,16,0,481.45367116699344,,,,,,,,,,,,,,,clips/clip_claude_17_nosub_1.mp4,audios/silence.mp3,visual,[10.214100542012602],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,17,0,17,,,,None,None,,,,,,,,,,,,,17,0,17,0,493.7468311249977,,,,,,,,,,,,,,,clips/clip_holo_08_sub_2.mp4,audios/silence.mp3,visual,[9.671472957998049],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,18,0,18,,,,None,None,,,,,,,,,,,,,18,0,18,0,505.3218791669933,,,,,,,,,,,,,,,clips/clip_holo_03_nosub_1.mp4,audios/clip_holo_03_nosub_1.mp3,audiovisual,[7.503104250004981],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,19,0,19,,,,None,None,,,,,,,,,,,,,19,0,19,0,515.607514082978,,,,,,,,,,,,,,,clips/clip_lied_11_nosub_1.mp4,audios/clip_lied_11_nosub_1.mp3,audiovisual,[7.987657999998191],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,20,0,20,,,,None,None,,,,,,,,,,,,,20,0,20,0,527.4877173329878,,,,,,,,,,,,,,,clips/clip_hund_04_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,21,0,21,,,,None,None,,,,,,,,,,,,,21,0,21,0,537.7806635419838,,,,,,,,,,,,,,,clips/clip_wurst_30_sub_1.mp4,audios/clip_wurst_30_sub_1.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,22,0,22,,,,None,None,,,,,,,,,,,,,22,0,22,0,548.5802342499956,,,,,,,,,,,,,,,clips/clip_dampf_06_nosub_2.mp4,audios/clip_dampf_06_nosub_2.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,23,0,23,,,,None,None,,,,,,,,,,,,,23,0,23,0,558.3744107499951,,,,,,,,,,,,,,,clips/clip_dampf_03_sub_1.mp4,audios/silence.mp3,visual,[7.578813375002937],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,24,0,24,,,,None,None,,,,,,,,,,,,,24,0,24,0,566.7732104999886,,,,,,,,,,,,,,,clips/clip_holo_17_sub_0.mp4,audios/clip_holo_17_sub_0.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,25,0,25,,,,4,None,2.271766874997411,None,,,,,,,,,,,25,0,25,0,577.3644769169914,,,,,,,,,,,,,,,clips/clip_weißt_17_nosub_0.mp4,audios/clip_weißt_17_nosub_0.mp3,audiovisual,[],4,None,4,2.271766874997411,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,26,0,26,,,,None,None,,,,,,,,,,,,,26,0,26,0,592.0030062079895,,,,,,,,,,,,,,,clips/clip_hund_29_nosub_0.mp4,audios/clip_hund_29_nosub_0.mp3,audiovisual,[10.411202166986186],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,27,0,27,,,,None,None,,,,,,,,,,,,,27,0,27,0,604.154432374984,,,,,,,,,,,,,,,clips/clip_wurst_10_sub_2.mp4,audios/clip_wurst_10_sub_2.mp3,audiovisual,[6.059457915980602],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,28,0,28,,,,None,None,,,,,,,,,,,,,28,0,28,0,613.7072413329734,,,,,,,,,,,,,,,clips/clip_lied_14_sub_0.mp4,audios/clip_lied_14_sub_0.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,29,0,29,,,,None,None,,,,,,,,,,,,,29,0,29,0,624.1378977079876,,,,,,,,,,,,,,,clips/clip_weißt_29_sub_1.mp4,audios/silence.mp3,visual,[6.893918166984804],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,30,0,30,,,,None,None,,,,,,,,,,,,,30,0,30,0,636.5006270829763,,,,,,,,,,,,,,,clips/clip_holo_02_nosub_2.mp4,audios/silence.mp3,visual,"[3.9329641250078566, 8.101108667004155]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,31,0,31,,,,None,None,,,,,,,,,,,,,31,0,31,0,648.4795849169896,,,,,,,,,,,,,,,clips/clip_weißt_15_sub_1.mp4,audios/clip_weißt_15_sub_1.mp3,audiovisual,"[2.94507279197569, 4.821133416990051]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,32,0,32,,,,1,None,2.9188837080146186,None,,,,,,,,,,,32,0,32,0,660.1685749999888,,,,,,,,,,,,,,,clips/clip_holo_15_nosub_0.mp4,audios/clip_holo_15_nosub_0.mp3,audiovisual,[6.107699332991615],1,None,1,2.9188837080146186,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,33,0,33,,,,2,None,4.32096625000122,None,,,,,,,,,,,33,0,33,0,673.0777649579977,,,,,,,,,,,,,,,clips/clip_wurst_23_nosub_2.mp4,audios/silence.mp3,visual,"[3.477657250012271, 7.624658500018995]",2,None,1,4.32096625000122,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,34,0,34,,,,None,None,,,,,,,,,,,,,34,0,34,0,688.6902855419903,,,,,,,,,,,,,,,clips/clip_weißt_25_sub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,35,0,35,,,,None,None,,,,,,,,,,,,,35,0,35,0,701.4808099579823,,,,,,,,,,,,,,,clips/clip_holo_04_sub_2.mp4,audios/silence.mp3,visual,"[3.2499189999944065, 6.954002582991961]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,36,0,36,,,,None,None,,,,,,,,,,,,,36,0,36,0,714.2633664169989,,,,,,,,,,,,,,,clips/clip_lied_15_nosub_2.mp4,audios/silence.mp3,visual,[6.979059292003512],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,37,0,37,,,,None,None,,,,,,,,,,,,,37,0,37,0,722.3483263749804,,,,,,,,,,,,,,,clips/clip_hund_34_nosub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,38,0,38,,,,None,None,,,,,,,,,,,,,38,0,38,0,733.5678172919725,,,,,,,,,,,,,,,clips/clip_weißt_23_nosub_1.mp4,audios/clip_weißt_23_nosub_1.mp3,audiovisual,[8.342094249994261],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,39,0,39,,,,None,None,,,,,,,,,,,,,39,0,39,0,745.7676522499823,,,,,,,,,,,,,,,clips/clip_holo_21_sub_1.mp4,audios/clip_holo_21_sub_1.mp3,audiovisual,"[4.097960292012431, 8.997196292009903]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,40,0,40,,,,None,None,,,,,,,,,,,,,40,0,40,0,756.6912889169762,,,,,,,,,,,,,,,clips/clip_holo_20_sub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,41,0,41,,,,None,None,,,,,,,,,,,,,41,0,41,0,766.8736766249931,,,,,,,,,,,,,,,clips/clip_hund_15_sub_1.mp4,audios/silence.mp3,visual,[4.703698500001337],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,42,0,42,,,,3,None,2.5835421250085346,None,,,,,,,,,,,42,0,42,0,778.1083449169819,,,,,,,,,,,,,,,clips/clip_lied_18_sub_2.mp4,audios/clip_lied_18_sub_2.mp3,audiovisual,[7.096282916987548],3,None,3,2.5835421250085346,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,43,0,43,,,,None,None,,,,,,,,,,,,,43,0,43,0,792.1708410419815,,,,,,,,,,,,,,,clips/clip_claude_01_nosub_2.mp4,audios/silence.mp3,visual,"[6.664958999986993, 8.750055374985095]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,44,0,44,,,,None,None,,,,,,,,,,,,,44,0,44,0,803.8846164999995,,,,,,,,,,,,,,,clips/clip_claude_13_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,45,0,45,,,,None,None,,,,,,,,,,,,,45,0,45,0,813.8878731250006,,,,,,,,,,,,,,,clips/clip_hund_32_sub_1.mp4,audios/clip_hund_32_sub_1.mp3,audiovisual,[4.697236207983224],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,46,0,46,,,,None,None,,,,,,,,,,,,,46,0,46,0,824.6563552919833,,,,,,,,,,,,,,,clips/clip_holo_27_nosub_1.mp4,audios/silence.mp3,visual,[5.221263582992833],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,47,0,47,,,,2,None,4.929902667005081,None,,,,,,,,,,,47,0,47,0,835.4303242499882,,,,,,,,,,,,,,,clips/clip_holo_16_sub_1.mp4,audios/silence.mp3,visual,[10.289565999992192],2,None,2,4.929902667005081,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,48,0,48,,,,None,None,,,,,,,,,,,,,48,0,48,0,853.1744186669821,,,,,,,,,,,,,,,clips/clip_weißt_14_sub_2.mp4,audios/silence.mp3,visual,"[3.2768173330114223, 8.142029790993547]",None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,49,0,49,,,,2,None,12.044758333999198,None,,,,,,,,,,,49,0,49,0,862.8576372919779,,,,,,,,,,,,,,,clips/clip_herz_11_nosub_0.mp4,audios/silence.mp3,visual,[4.852351583976997],2,None,2,12.044758333999198,None,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,50,0,50,,,,None,None,,,,,,,,,,,,,50,0,50,0,885.026478832995,,,,,,,,,,,,,,,clips/clip_weißt_27_nosub_1.mp4,audios/silence.mp3,visual,[7.889268625003751],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,51,0,51,,,,None,None,,,,,,,,,,,,,51,0,51,0,895.8759781249973,,,,,,,,,,,,,,,clips/clip_wurst_18_sub_0.mp4,audios/clip_wurst_18_sub_0.mp3,audiovisual,[6.781210207991535],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,52,0,52,,,,None,None,,,,,,,,,,,,,52,0,52,0,906.6655452079722,,,,,,,,,,,,,,,clips/clip_herz_04_nosub_0.mp4,audios/clip_herz_04_nosub_0.mp3,audiovisual,[7.813178250013152],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,53,0,53,,,,None,None,,,,,,,,,,,,,53,0,53,0,918.4485548749799,,,,,,,,,,,,,,,clips/clip_holo_12_sub_1.mp4,audios/silence.mp3,visual,[8.678078333003214],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,54,0,54,,,,None,None,,,,,,,,,,,,,54,0,54,0,929.2564274579927,,,,,,,,,,,,,,,clips/clip_wurst_14_sub_1.mp4,audios/clip_wurst_14_sub_1.mp3,audiovisual,[8.105338291992666],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,55,0,55,,,,None,None,,,,,,,,,,,,,55,0,55,0,940.0569112919911,,,,,,,,,,,,,,,clips/clip_lied_09_sub_1.mp4,audios/clip_lied_09_sub_1.mp3,audiovisual,[],None,None,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
