instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,46.07387837499846,,0,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,0,0,0,1,44.054317125002854,None,,,,,,,,,,,0,0,0,0,,,,,82.48919045799994,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,[],4,1,44.054317125002854,None,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,1,0,1,None,,,,,,,,,,,,,1,0,1,0,,,,,135.06319595797686,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,[2.973414167005103],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,2,0,2,4,5.366590125020593,None,,,,,,,,,,,2,0,2,0,,,,,144.274348499981,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,True,[],4,4,5.366590125020593,None,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,3,0,3,None,,,,,,,,,,,,,3,0,3,0,,,,,159.80615033299546,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,[],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,4,0,4,3,10.066016708005918,None,,,,,,,,,,,4,0,4,0,,,,,171.85083499999018,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,True,[5.919631750002736],4,3,10.066016708005918,None,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,5,0,5,None,,,,,,,,,,,,,5,0,5,0,,,,,191.75889154197648,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,[],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,6,0,6,None,,,,,,,,,,,,,6,0,6,0,,,,,202.3678093329945,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,[],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
,7,0,7,None,,,,,,,,,,,,,7,0,7,0,,,,,212.92397937498754,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,visual,nosub,False,[6.9643370419798885],,None,,,,,,,,,,,,,,108,A,2026-04-02_15h00.43.580,exp_sofc_final,,2025.2.3,None,2026-04-02 15h00.44.486796 +0200,
