instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;0;0;0;None;;;;;;;;;;;;;0;0;0;0;;;;;10.439.850.299.991.600;;;;;clip_hund_26_sub_1;clips/clip_hund_26_sub_1.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;1;0;1;1;11.972.546.600.271.000;None;;;;;;;;;;;1;0;1;0;;;;;1.143.007.474.001.490;;;;;clip_weißt_18_nosub_1;clips/clip_weißt_18_nosub_1.mp4;audios/silence.mp3;visual;nosub;True;[];1;4;11.972.546.600.271.000;None;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;2;0;2;None;;;;;;;;;;;;;2;0;2;0;;;;;13.931.149.049.988.000;;;;;clip_hund_31_sub_0;clips/clip_hund_31_sub_0.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;3;0;3;1;7.020.338.799.804.440;None;;;;;;;;;;;3;0;3;0;;;;;148.608.228.799.887;;;;;clip_weißt_10_nosub_1;clips/clip_weißt_10_nosub_1.mp4;audios/clip_weißt_10_nosub_1.mp3;audiovisual;nosub;True;[0.27868960006162524];1;1;7.020.338.799.804.440;None;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;4;0;4;None;;;;;;;;;;;;;4;0;4;0;;;;;16.760.045.239.981.200;;;;;clip_hund_28_nosub_0;clips/clip_hund_28_nosub_0.mp4;audios/clip_hund_28_nosub_0.mp3;audiovisual;nosub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;5;0;5;4;9.364.611.099.939.790;None;;;;;;;;;;;5;0;5;0;;;;;1.783.498.660.000.040;;;;;clip_hund_06_nosub_0;clips/clip_hund_06_nosub_0.mp4;audios/clip_hund_06_nosub_0.mp3;audiovisual;nosub;True;[];4;4;9.364.611.099.939.790;None;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;6;0;6;None;;;;;;;;;;;;;6;0;6;0;;;;;19.952.196.840.010.500;;;;;clip_hund_25_sub_1;clips/clip_hund_25_sub_1.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;7;0;7;None;;;;;;;;;;;;;7;0;7;0;;;;;20.868.209.150.014.400;;;;;clip_wurst_09_sub_1;clips/clip_wurst_09_sub_1.mp4;audios/clip_wurst_09_sub_1.mp3;audiovisual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;8;0;8;None;;;;;;;;;;;;;8;0;8;0;;;;;2.208.286.202.000.450;;;;;clip_hund_02_sub_1;clips/clip_hund_02_sub_1.mp4;audios/clip_hund_02_sub_1.mp3;audiovisual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;9;0;9;None;;;;;;;;;;;;;9;0;9;0;;;;;23.164.097.539.987.400;;;;;clip_weißt_05_sub_0;clips/clip_weißt_05_sub_0.mp4;audios/clip_weißt_05_sub_0.mp3;audiovisual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;10;0;10;4;5.364.110.899.623.480;None;;;;;;;;;;;10;0;10;0;;;;;24.229.582.160.012.700;;;;;clip_weißt_21_nosub_0;clips/clip_weißt_21_nosub_0.mp4;audios/silence.mp3;visual;nosub;True;[];4;4;5.364.110.899.623.480;None;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;11;0;11;None;;;;;;;;;;;;;11;0;11;0;;;;;2.587.099.342.998.110;;;;;clip_weißt_09_sub_1;clips/clip_weißt_09_sub_1.mp4;audios/silence.mp3;visual;sub;False;[];None;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;0;0;0;;;;None;None;;;;;;;;;;;;;0;0;0;0;2.785.522.706.997.580;;;;;;;;;;;;;;;;clips/clip_wurst_31_sub_1.mp4;audios/clip_wurst_31_sub_1.mp3;audiovisual;[];None;None;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;1;0;1;;;;None;None;;;;;;;;;;;;;1;0;1;0;29.002.478.350.000.400;;;;;;;;;;;;;;;;clips/clip_lied_04_nosub_0.mp4;audios/clip_lied_04_nosub_0.mp3;audiovisual;[];None;None;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;2;0;2;;;;None;None;;;;;;;;;;;;;2;0;2;0;3.018.954.725.000.070;;;;;;;;;;;;;;;;clips/clip_wurst_15_sub_2.mp4;audios/clip_wurst_15_sub_2.mp3;audiovisual;[7.729615999851376];None;None;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;3;0;3;;;;None;None;;;;;;;;;;;;;3;0;3;0;3.121.409.407.998.430;;;;;;;;;;;;;;;;clips/clip_wurst_34_sub_2.mp4;audios/silence.mp3;visual;[];None;None;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;4;0;4;;;;None;None;;;;;;;;;;;;;4;0;4;0;32.149.022.849.975.100;;;;;;;;;;;;;;;;clips/clip_lied_03_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
;5;0;5;;;;None;None;;;;;;;;;;;;;5;0;5;0;3.329.208.828.997.790;;;;;;;;;;;;;;;;clips/clip_claude_18_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;203;B;2026-03-30_14h44.47.938;exp_sofc_final;;02.01.2026;5.996.789.309.914.360;2026-03-30 14h44.49.635826 +0200
