instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;Practice_correct_key_required;practice_trials.prac_attention_resp.keys;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;0;11;None;;;;;;;;;;;;;11;0;11;0;;;;;21.175.785.139.994.600;;;;;clip_hund_31_sub_0;clips/clip_hund_31_sub_0.mp4;audios/silence.mp3;visual;sub;False;[];;None;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;0;0;0;;;;None;None;;;;;;;;;;;;;0;0;0;0;2.278.214.432.001.110;;;;;;;;;;;;;;;;clips/clip_hund_18_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;1;0;1;;;;None;None;;;;;;;;;;;;;1;0;1;0;2.386.883.741.999.040;;;;;;;;;;;;;;;;clips/clip_herz_04_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;2;0;2;;;;4;None;443.639.130.005.613;None;;;;;;;;;;;2;0;2;0;25.059.243.150.008.800;;;;;;;;;;;;;;;;clips/clip_weißt_01_nosub_1.mp4;audios/clip_weißt_01_nosub_1.mp3;audiovisual;[];4;None;4;443.639.130.005.613;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;3;0;3;;;;1;None;645.135.880.028.829;None;;;;;;;;;;;3;0;3;0;2.669.125.211.997.880;;;;;;;;;;;;;;;;clips/clip_wurst_16_sub_0.mp4;audios/silence.mp3;visual;[];1;None;1;645.135.880.028.829;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;4;0;4;;;;None;None;;;;;;;;;;;;;4;0;4;0;2.842.532.453.001.470;;;;;;;;;;;;;;;;clips/clip_claude_06_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;5;0;5;;;;None;None;;;;;;;;;;;;;5;0;5;0;2.976.829.372.998.320;;;;;;;;;;;;;;;;clips/clip_claude_20_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;6;0;6;;;;None;None;;;;;;;;;;;;;6;0;6;0;3.105.208.089.998.920;;;;;;;;;;;;;;;;clips/clip_wurst_12_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;7;0;7;;;;None;None;;;;;;;;;;;;;7;0;7;0;3.200.306.977.001.010;;;;;;;;;;;;;;;;clips/clip_lied_21_sub_2.mp4;audios/clip_lied_21_sub_2.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
