instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

,10,0,10,None,,,,,,,,,,,,,10,0,10,0,,,,,214.54635359998792,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,[6.189625199884176],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,11,0,11,None,,,,,,,,,,,,,11,0,11,0,,,,,224.57666540006176,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,False,[],None,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,0,0,0,,,,None,None,,,,,,,,,,,,,0,0,0,0,240.34684519981965,,,,,,,,,,,,,,,,clips/clip_hund_09_sub_2.mp4,audios/silence.mp3,visual,"[5.753361999988556, 11.300706699956208]",None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,1,0,1,,,,None,None,,,,,,,,,,,,,1,0,1,0,252.74933539982885,,,,,,,,,,,,,,,,clips/clip_claude_05_sub_2.mp4,audios/silence.mp3,visual,[4.542658400256187],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,2,0,2,,,,None,None,,,,,,,,,,,,,2,0,2,0,264.9651096998714,,,,,,,,,,,,,,,,clips/clip_hund_10_sub_0.mp4,audios/clip_hund_10_sub_0.mp3,audiovisual,[9.500810199882835],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,3,0,3,,,,None,None,,,,,,,,,,,,,3,0,3,0,275.4056330001913,,,,,,,,,,,,,,,,clips/clip_wurst_35_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,4,0,4,,,,None,None,,,,,,,,,,,,,4,0,4,0,285.5699239000678,,,,,,,,,,,,,,,,clips/clip_claude_11_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,5,0,5,,,,None,None,,,,,,,,,,,,,5,0,5,0,296.5533023001626,,,,,,,,,,,,,,,,clips/clip_holo_01_nosub_1.mp4,audios/clip_holo_01_nosub_1.mp3,audiovisual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,6,0,6,,,,None,None,,,,,,,,,,,,,6,0,6,0,306.6092461999506,,,,,,,,,,,,,,,,clips/clip_wurst_19_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
