instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;0;11;3;4.064.276.400.022.200;None;;;;;;;;;;;11;0;11;0;;;;;26.096.405.929.978.900;;;;;clip_hund_26_sub_1;clips/clip_hund_26_sub_1.mp4;audios/silence.mp3;visual;sub;True;[0.4636602997779846];3;3;4.064.276.400.022.200;None;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;0;0;0;;;;None;None;;;;;;;;;;;;;0;0;0;0;27.920.774.600.002.900;;;;;;;;;;;;;;;;clips/clip_claude_05_nosub_2.mp4;audios/silence.mp3;visual;[4.532209999859333];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;1;0;1;;;;None;None;;;;;;;;;;;;;1;0;1;0;2.913.539.417.996.070;;;;;;;;;;;;;;;;clips/clip_holo_07_nosub_0.mp4;audios/clip_holo_07_nosub_0.mp3;audiovisual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;2;0;2;;;;None;None;;;;;;;;;;;;;2;0;2;0;30.158.125.899.964.900;;;;;;;;;;;;;;;;clips/clip_holo_20_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;3;0;3;;;;None;None;;;;;;;;;;;;;3;0;3;0;311.804.863.399.826;;;;;;;;;;;;;;;;clips/clip_wurst_31_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;4;0;4;;;;1;None;26.179.039.999.842.600;None;;;;;;;;;;;4;0;4;0;32.367.481.889.994.800;;;;;;;;;;;;;;;;clips/clip_wurst_13_sub_0.mp4;audios/silence.mp3;visual;[];1;None;1;26.179.039.999.842.600;None;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;5;0;5;;;;None;None;;;;;;;;;;;;;5;0;5;0;3.368.346.082.000.060;;;;;;;;;;;;;;;;clips/clip_hund_29_nosub_0.mp4;audios/clip_hund_29_nosub_0.mp3;audiovisual;[10.543656200170517];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;6;0;6;;;;1;None;4.447.912.500.239.900;None;;;;;;;;;;;6;0;6;0;3.490.605.790.000.400;;;;;;;;;;;;;;;;clips/clip_hund_10_nosub_0.mp4;audios/clip_hund_10_nosub_0.mp3;audiovisual;[8.112512399908155];1;None;1;4.447.912.500.239.900;None;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;7;0;7;;;;None;None;;;;;;;;;;;;;7;0;7;0;36.384.831.180.004.400;;;;;;;;;;;;;;;;clips/clip_holo_24_sub_2.mp4;audios/silence.mp3;visual;[7.026356399990618, 9.96167130023241];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;8;0;8;;;;None;None;;;;;;;;;;;;;8;0;8;0;37.449.174.389.988.100;;;;;;;;;;;;;;;;clips/clip_hund_07_sub_1.mp4;audios/silence.mp3;visual;[6.572710399981588];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;9;0;9;;;;None;None;;;;;;;;;;;;;9;0;9;0;3.871.380.127.999;;;;;;;;;;;;;;;;clips/clip_wurst_26_sub_1.mp4;audios/clip_wurst_26_sub_1.mp3;audiovisual;[10.098865699954331];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;10;0;10;;;;None;None;;;;;;;;;;;;;10;0;10;0;3.997.858.435.995.870;;;;;;;;;;;;;;;;clips/clip_hund_30_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;11;0;11;;;;None;None;;;;;;;;;;;;;11;0;11;0;4.126.654.778.998.340;;;;;;;;;;;;;;;;clips/clip_wurst_23_nosub_2.mp4;audios/silence.mp3;visual;[3.7013320000842214, 8.165458899922669];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;12;0;12;;;;None;None;;;;;;;;;;;;;12;0;12;0;423.983.239.099.849;;;;;;;;;;;;;;;;clips/clip_claude_15_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;13;0;13;;;;None;None;;;;;;;;;;;;;13;0;13;0;43.687.724.939.966.500;;;;;;;;;;;;;;;;clips/clip_lied_04_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
