instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;Practice_correct_key_required;practice_trials.prac_attention_resp.keys;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;0;0;0;4;6.772.592.900.320.880;None;;;;;;;;;;;0;0;0;0;;;;;24.323.599.530.011.400;;;;;clip_hund_26_sub_1;clips/clip_hund_26_sub_1.mp4;audios/silence.mp3;visual;sub;True;[];4;4;6.772.592.900.320.880;None;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;1;0;1;None;;;;;;;;;;;;;1;0;1;0;;;;;2.596.618.106.998.500;;;;;clip_weißt_18_nosub_1;clips/clip_weißt_18_nosub_1.mp4;audios/silence.mp3;visual;nosub;False;[8.631481500342488];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;2;0;2;None;;;;;;;;;;;;;2;0;2;0;;;;;2.724.948.321.999.980;;;;;clip_hund_25_sub_1;clips/clip_hund_25_sub_1.mp4;audios/silence.mp3;visual;sub;False;[6.753334500361234];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;3;0;3;None;;;;;;;;;;;;;3;0;3;0;;;;;2.816.338.705.997.910;;;;;clip_hund_31_sub_0;clips/clip_hund_31_sub_0.mp4;audios/silence.mp3;visual;sub;False;[3.6870929999276996];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;4;0;4;None;;;;;;;;;;;;;4;0;4;0;;;;;29.094.678.530.003.800;;;;;clip_weißt_10_nosub_1;clips/clip_weißt_10_nosub_1.mp4;audios/clip_weißt_10_nosub_1.mp3;audiovisual;nosub;False;[5.5131152998656034];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;5;0;5;None;;;;;;;;;;;;;5;0;5;0;;;;;3.027.759.917.997.750;;;;;clip_hund_02_sub_1;clips/clip_hund_02_sub_1.mp4;audios/clip_hund_02_sub_1.mp3;audiovisual;sub;False;[9.472191500011832];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;6;0;6;4;1.387.569.750.007.240;None;;;;;;;;;;;6;0;6;0;;;;;31.355.758.089.991.200;;;;;clip_weißt_09_sub_1;clips/clip_weißt_09_sub_1.mp4;audios/silence.mp3;visual;sub;True;[6.320196399930865];4;4;1.387.569.750.007.240;None;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;7;0;7;None;;;;;;;;;;;;;7;0;7;0;;;;;33.735.304.669.989.200;;;;;clip_wurst_09_sub_1;clips/clip_wurst_09_sub_1.mp4;audios/clip_wurst_09_sub_1.mp3;audiovisual;sub;False;[4.844572999980301];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
