instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;Practice_correct_key_required;practice_trials.prac_attention_resp.keys;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
;8;0;8;None;;;;;;;;;;;;;8;0;8;0;;;;;34.941.198.890.004.300;;;;;clip_weißt_21_nosub_0;clips/clip_weißt_21_nosub_0.mp4;audios/silence.mp3;visual;nosub;False;[];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;9;0;9;1;7.775.388.399.604.700;None;;;;;;;;;;;9;0;9;0;;;;;36.037.406.249.996.200;;;;;clip_hund_06_nosub_0;clips/clip_hund_06_nosub_0.mp4;audios/clip_hund_06_nosub_0.mp3;audiovisual;nosub;True;[];1;1;7.775.388.399.604.700;None;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;10;0;10;2;4.651.751.999.743.280;None;;;;;;;;;;;10;0;10;0;;;;;3.799.135.392.997.410;;;;;clip_hund_28_nosub_0;clips/clip_hund_28_nosub_0.mp4;audios/clip_hund_28_nosub_0.mp3;audiovisual;nosub;True;[];2;2;4.651.751.999.743.280;None;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;11;0;11;None;;;;;;;;;;;;;11;0;11;0;;;;;3.953.022.821.000.770;;;;;clip_weißt_05_sub_0;clips/clip_weißt_05_sub_0.mp4;audios/clip_weißt_05_sub_0.mp3;audiovisual;sub;False;[];;None;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;0;0;0;;;;None;None;;;;;;;;;;;;;0;0;0;0;46.588.010.959.979.100;;;;;;;;;;;;;;;;clips/clip_claude_27_sub_0.mp4;audios/clip_claude_27_sub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;1;0;1;;;;None;None;;;;;;;;;;;;;1;0;1;0;47.870.006.750.011.800;;;;;;;;;;;;;;;;clips/clip_holo_07_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;2;0;2;;;;None;None;;;;;;;;;;;;;2;0;2;0;4.888.812.842.001.200;;;;;;;;;;;;;;;;clips/clip_weißt_20_nosub_1.mp4;audios/silence.mp3;visual;[8.691662000026554];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;3;0;3;;;;None;None;;;;;;;;;;;;;3;0;3;0;4.995.499.141.998.580;;;;;;;;;;;;;;;;clips/clip_wurst_25_sub_1.mp4;audios/clip_wurst_25_sub_1.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;4;0;4;;;;3;None;39.437.754.000.537.000;None;;;;;;;;;;;4;0;4;0;5.115.656.534.996.810;;;;;;;;;;;;;;;;clips/clip_weißt_28_sub_1.mp4;audios/silence.mp3;visual;[6.842412299942225];3;None;3;39.437.754.000.537.000;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;5;0;5;;;;None;None;;;;;;;;;;;;;5;0;5;0;5.264.978.529.000.650;;;;;;;;;;;;;;;;clips/clip_hund_35_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;6;0;6;;;;None;None;;;;;;;;;;;;;6;0;6;0;5.377.282.298.998.900;;;;;;;;;;;;;;;;clips/clip_weißt_15_nosub_1.mp4;audios/silence.mp3;visual;[3.044214299879968];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;7;0;7;;;;None;None;;;;;;;;;;;;;7;0;7;0;5.494.990.346.999.830;;;;;;;;;;;;;;;;clips/clip_holo_16_sub_1.mp4;audios/clip_holo_16_sub_1.mp3;audiovisual;[10.53273699991405];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;8;0;8;;;;None;None;;;;;;;;;;;;;8;0;8;0;562.320.248.299.744;;;;;;;;;;;;;;;;clips/clip_claude_16_nosub_1.mp4;audios/silence.mp3;visual;[9.008317899890244];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;9;0;9;;;;None;None;;;;;;;;;;;;;9;0;9;0;5.743.860.017.000.690;;;;;;;;;;;;;;;;clips/clip_wurst_06_nosub_2.mp4;audios/clip_wurst_06_nosub_2.mp3;audiovisual;[8.269752100110054];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;10;0;10;;;;2;None;5.361.608.000.006.520;None;;;;;;;;;;;10;0;10;0;5.863.393.768.998.790;;;;;;;;;;;;;;;;clips/clip_wurst_13_sub_0.mp4;audios/clip_wurst_13_sub_0.mp3;audiovisual;[];2;None;4;5.361.608.000.006.520;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;11;0;11;;;;3;None;1.880.629.549.967.120;None;;;;;;;;;;;11;0;11;0;6.022.549.070.999.950;;;;;;;;;;;;;;;;clips/clip_claude_20_nosub_1.mp4;audios/silence.mp3;visual;[6.763385199941695];3;None;3;1.880.629.549.967.120;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;12;0;12;;;;4;None;4.442.095.899.954.430;None;;;;;;;;;;;12;0;12;0;6.338.906.346.000.730;;;;;;;;;;;;;;;;clips/clip_hund_18_sub_1.mp4;audios/silence.mp3;visual;[];4;None;4;4.442.095.899.954.430;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;13;0;13;;;;2;None;416.942.030.005.157;None;;;;;;;;;;;13;0;13;0;649.232.613.099.739;;;;;;;;;;;;;;;;clips/clip_claude_02_sub_1.mp4;audios/silence.mp3;visual;[5.778714600019157];2;None;2;416.942.030.005.157;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;14;0;14;;;;None;None;;;;;;;;;;;;;14;0;14;0;6.640.869.506.997.980;;;;;;;;;;;;;;;;clips/clip_weißt_03_sub_0.mp4;audios/clip_weißt_03_sub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;15;0;15;;;;None;None;;;;;;;;;;;;;15;0;15;0;6.769.313.819.999.800;;;;;;;;;;;;;;;;clips/clip_hund_34_nosub_1.mp4;audios/clip_hund_34_nosub_1.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;16;0;16;;;;None;None;;;;;;;;;;;;;16;0;16;0;6.881.487.163.999.110;;;;;;;;;;;;;;;;clips/clip_claude_18_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;17;0;17;;;;None;None;;;;;;;;;;;;;17;0;17;0;6.979.906.297.000.120;;;;;;;;;;;;;;;;clips/clip_weißt_23_sub_1.mp4;audios/silence.mp3;visual;[8.482487000059336];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;18;0;18;;;;None;None;;;;;;;;;;;;;18;0;18;0;7.102.138.108.001.090;;;;;;;;;;;;;;;;clips/clip_wurst_20_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;19;0;19;;;;None;None;;;;;;;;;;;;;19;0;19;0;7.211.099.384.999.830;;;;;;;;;;;;;;;;clips/clip_claude_11_sub_0.mp4;audios/clip_claude_11_sub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;20;0;20;;;;4;None;4.008.045.299.910.000;None;;;;;;;;;;;20;0;20;0;7.319.261.292.000.300;;;;;;;;;;;;;;;;clips/clip_claude_10_sub_0.mp4;audios/silence.mp3;visual;[];4;None;4;4.008.045.299.910.000;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;21;0;21;;;;3;None;11.287.570.500.280.700;None;;;;;;;;;;;21;0;21;0;7.479.957.292.997.270;;;;;;;;;;;;;;;;clips/clip_herz_02_nosub_0.mp4;audios/silence.mp3;visual;[9.156286899931729];3;None;1;11.287.570.500.280.700;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;22;0;22;;;;None;None;;;;;;;;;;;;;22;0;22;0;7.726.123.965.997.240;;;;;;;;;;;;;;;;clips/clip_holo_08_sub_2.mp4;audios/clip_holo_08_sub_2.mp3;audiovisual;[9.265213700011373];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;23;0;23;;;;None;None;;;;;;;;;;;;;23;0;23;0;784.228.307.900.019;;;;;;;;;;;;;;;;clips/clip_herz_05_sub_0.mp4;audios/clip_herz_05_sub_0.mp3;audiovisual;[5.920155600178987, 7.256216799840331];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;24;0;24;;;;None;None;;;;;;;;;;;;;24;0;24;0;7.953.063.682.001.080;;;;;;;;;;;;;;;;clips/clip_dampf_04_nosub_1.mp4;audios/silence.mp3;visual;[5.363657400012016];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;25;0;25;;;;3;None;6.877.875.099.889.930;None;;;;;;;;;;;25;0;25;0;8.058.120.940.998.190;;;;;;;;;;;;;;;;clips/clip_holo_04_sub_2.mp4;audios/clip_holo_04_sub_2.mp3;audiovisual;[7.107545800041407];3;None;3;6.877.875.099.889.930;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;26;0;26;;;;None;None;;;;;;;;;;;;;26;0;26;0;8.255.648.852.000.010;;;;;;;;;;;;;;;;clips/clip_lied_04_sub_0.mp4;audios/clip_lied_04_sub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;27;0;27;;;;2;None;2.964.525.599.963.960;None;;;;;;;;;;;27;0;27;0;8.373.348.964.997.560;;;;;;;;;;;;;;;;clips/clip_wurst_28_sub_1.mp4;audios/silence.mp3;visual;[];2;None;2;2.964.525.599.963.960;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;28;0;28;;;;None;None;;;;;;;;;;;;;28;0;28;0;8.514.446.819.000.870;;;;;;;;;;;;;;;;clips/clip_lied_20_sub_2.mp4;audios/silence.mp3;visual;[3.8989010001532733, 8.157513200305402];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;29;0;29;;;;None;None;;;;;;;;;;;;;29;0;29;0;8.630.480.047.999.880;;;;;;;;;;;;;;;;clips/clip_lied_11_sub_1.mp4;audios/silence.mp3;visual;[8.211413700133562];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;30;0;30;;;;None;None;;;;;;;;;;;;;30;0;30;0;8.748.888.677.000.060;;;;;;;;;;;;;;;;clips/clip_wurst_22_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;31;0;31;;;;None;None;;;;;;;;;;;;;31;0;31;0;8.874.204.545.998.940;;;;;;;;;;;;;;;;clips/clip_herz_15_nosub_0.mp4;audios/clip_herz_15_nosub_0.mp3;audiovisual;[0.37491830019280314, 8.16946170013398];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;32;0;32;;;;None;None;;;;;;;;;;;;;32;0;32;0;9.003.010.646.998.880;;;;;;;;;;;;;;;;clips/clip_wurst_29_sub_1.mp4;audios/clip_wurst_29_sub_1.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;33;0;33;;;;None;None;;;;;;;;;;;;;33;0;33;0;9.131.200.768.998.820;;;;;;;;;;;;;;;;clips/clip_wurst_08_sub_1.mp4;audios/clip_wurst_08_sub_1.mp3;audiovisual;[5.5375426998361945];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;34;0;34;;;;1;None;4.304.931.600.112.460;None;;;;;;;;;;;34;0;34;0;9.224.563.118.000.510;;;;;;;;;;;;;;;;clips/clip_weißt_11_nosub_0.mp4;audios/silence.mp3;visual;[];1;None;1;4.304.931.600.112.460;None;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;35;0;35;;;;None;None;;;;;;;;;;;;;35;0;35;0;9.378.798.865.997.230;;;;;;;;;;;;;;;;clips/clip_weißt_13_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;36;0;36;;;;None;None;;;;;;;;;;;;;36;0;36;0;9.495.733.110.997.820;;;;;;;;;;;;;;;;clips/clip_weißt_19_sub_1.mp4;audios/clip_weißt_19_sub_1.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;37;0;37;;;;None;None;;;;;;;;;;;;;37;0;37;0;9.602.658.204.999.750;;;;;;;;;;;;;;;;clips/clip_holo_15_sub_0.mp4;audios/silence.mp3;visual;[6.479954699985683];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;38;0;38;;;;None;None;;;;;;;;;;;;;38;0;38;0;9.703.353.220.997.370;;;;;;;;;;;;;;;;clips/clip_lied_08_sub_1.mp4;audios/clip_lied_08_sub_1.mp3;audiovisual;[7.558912199921906];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;39;0;39;;;;None;None;;;;;;;;;;;;;39;0;39;0;9.802.352.696.997.110;;;;;;;;;;;;;;;;clips/clip_holo_23_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;40;0;40;;;;None;None;;;;;;;;;;;;;40;0;40;0;9.910.688.481.000.250;;;;;;;;;;;;;;;;clips/clip_wurst_18_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;41;0;41;;;;None;None;;;;;;;;;;;;;41;0;41;0;10.018.962.777.997.300;;;;;;;;;;;;;;;;clips/clip_wurst_26_nosub_1.mp4;audios/silence.mp3;visual;[10.203894700389355];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;42;0;42;;;;None;None;;;;;;;;;;;;;42;0;42;0;10.147.721.464.000.600;;;;;;;;;;;;;;;;clips/clip_weißt_16_nosub_0.mp4;audios/clip_weißt_16_nosub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;43;0;43;;;;None;None;;;;;;;;;;;;;43;0;43;0;10.261.179.451.998.300;;;;;;;;;;;;;;;;clips/clip_lied_12_sub_0.mp4;audios/clip_lied_12_sub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;44;0;44;;;;None;None;;;;;;;;;;;;;44;0;44;0;10.360.211.193.999.200;;;;;;;;;;;;;;;;clips/clip_hund_27_nosub_1.mp4;audios/clip_hund_27_nosub_1.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;45;0;45;;;;None;None;;;;;;;;;;;;;45;0;45;0;10.469.383.451.999.100;;;;;;;;;;;;;;;;clips/clip_weißt_07_sub_1.mp4;audios/silence.mp3;visual;[4.4734572996385396];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;46;0;46;;;;None;None;;;;;;;;;;;;;46;0;46;0;1.057.527.009.899.720;;;;;;;;;;;;;;;;clips/clip_hund_21_nosub_1.mp4;audios/clip_hund_21_nosub_1.mp3;audiovisual;[6.463233899790794];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;47;0;47;;;;None;None;;;;;;;;;;;;;47;0;47;0;10.683.335.830.997.600;;;;;;;;;;;;;;;;clips/clip_wurst_30_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;48;0;48;;;;None;None;;;;;;;;;;;;;48;0;48;0;10.791.631.352.999.200;;;;;;;;;;;;;;;;clips/clip_holo_11_sub_2.mp4;audios/silence.mp3;visual;[9.907440199982375];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;49;0;49;;;;None;None;;;;;;;;;;;;;49;0;49;0;10.896.709.533.999.600;;;;;;;;;;;;;;;;clips/clip_hund_07_sub_1.mp4;audios/clip_hund_07_sub_1.mp3;audiovisual;[8.237338400445879];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;50;0;50;;;;None;None;;;;;;;;;;;;;50;0;50;0;11.021.120.734.000.500;;;;;;;;;;;;;;;;clips/clip_wurst_03_sub_1.mp4;audios/silence.mp3;visual;[4.655867699999362];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
;51;0;51;;;;None;None;;;;;;;;;;;;;51;0;51;0;11.149.475.261.000.900;;;;;;;;;;;;;;;;clips/clip_wurst_19_nosub_0.mp4;audios/clip_wurst_19_nosub_0.mp3;audiovisual;[];None;None;;;;;;202;B;2026-03-30_11h51.24.960;exp_sofc_final;;02.01.2026;6.004.383.185.569.160;2026-03-30 11h51.26.439313 +0200
