instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_sound.stopped,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,Practice_correct_key_required,practice_attention_check.started,prac_attention_resp.started,prac_question.started,prac_options.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment_text.stopped,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,exp_sound.stopped,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,exp_pause_text.started,exp_pause_resp.started,exp_countdown.started,exp_pause_resp.stopped,exp_countdown.stopped,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,end.started,text_end.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,weißt,nosub,0,21,NA,NA,10080,Wo stehen die Personen?,am Balkongeländer,am Strand,an einer Bushaltestelle,im Wald,2,5.3170654000023205,None,,,,,,,,,,,0,3,3,1,,,,,62.380120999998326,,,,,,,,,,,,,,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,True,62.373859999999695,62.380120999998326,62.7805331999989,62.98070960000041,62.98070960000041,62.98134616666381,64.23262379999869,73.20333259999825,73.0816672999972,[1.7561996000004],2,73.2000083999992,73.20333259999825,73.20333259999825,73.20333259999825,78.52206029999797,2,5.3170654000023205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,4,4,0,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,hund,sub,1,31,1966.0,NA,8433,Welche Tageszeit ist es?,abends,morgens,mittags,nachts,None,,,,,,,,,,,,,0,4,4,9,,,,,78.64594609999767,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,78.63985759999923,78.64594609999767,79.02217119999841,79.22273959999802,79.22273959999802,79.2233885666649,90.35327309999775,90.35327309999775,90.11196829999972,[],,90.21816810000018,,,,90.21819770000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,5,5,0,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,hund,sub,1,25,5466.0,NA,8300,Mit was essen die Personen?,mit ihren Händen,mit Messer und Gabel,mit Stäbchen,mit einem Löffel,None,,,,,,,,,,,,,0,5,5,11,,,,,90.35327309999775,,,,,,,,,,,,,,,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,audiovisual,nosub,False,90.34600169999976,90.35327309999775,90.71545010000045,90.91816409999956,90.91816409999956,90.91753876666577,102.14449839999725,102.14449839999725,101.93422819999978,[5.703508800001146],,102.02396509999744,,,,102.0240066999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,6,6,0,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,hund,nosub,0,28,NA,NA,9840,Was steht auf dem Tisch vor den Personen?,Weinflasche mit Gläsern,Wasser,Bier,Kaffee,None,,,,,,,,,,,,,0,6,6,4,,,,,102.14449839999725,,,,,,,,,,,,,,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,102.1389941999987,102.14449839999725,102.53025409999827,102.72955809999985,102.72955809999985,102.73056146666592,,114.24450969999816,114.02807699999903,[4.767159700000775],,114.13451229999919,,,,114.13455389999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,7,7,0,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,weißt,sub,0,5,NA,NA,9767,Wer trägt die Leiter?,die Frau,der Mann,beide,keiner,None,,,,,,,,,,,,,0,7,7,0,,,,,114.24450969999816,,,,,,,,,,,,,,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,114.23779300000024,114.24450969999816,114.6485606999995,114.84850649999862,114.84850649999862,114.84887486666436,116.10028299999976,123.54461789999914,123.31328949999806,[3.225614200000564],,123.43016559999887,,,,123.43019939999795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,8,8,0,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,weißt,nosub,1,18,5680.0,NA,12000,Wie wirken die Personen?,überrascht,wütend,verzweifelt,gelangweilt,None,,,,,,,,,,,,,0,8,8,7,,,,,123.54461789999914,,,,,,,,,,,,,,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,123.53939279999759,123.54461789999914,123.9299659999997,124.12963579999996,124.12963579999996,124.1305043666655,125.38177580000047,133.69336909999765,133.4946702999987,[],,133.59587009999814,,,,133.5959058999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,9,9,0,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,hund,sub,1,2,8300.0,NA,9900,Welche Farbe hat der Pullover der Frau?,grün,schwarz,blau,rot,2,11.213114100002713,None,,,,,,,,,,,0,9,9,8,,,,,133.69336909999765,,,,,,,,,,,,,,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,133.69041590000052,133.69336909999765,134.10359229999813,134.30393399999957,134.30393399999957,134.30417796666396,135.55965989999822,142.73811319999731,142.621616299999,[6.76400040000226],1,142.73425130000032,142.73811319999731,142.73811319999731,142.73811319999731,153.9551950999994,2,11.213114100002713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,10,10,0,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,hund,nosub,0,6,NA,NA,10860,Wie sieht das Studio aus?,unaufgeräumt,sehr ordentlich,komplett leer,stark überfüllt,3,11.366226599999209,None,,,,,,,,,,,0,10,10,2,,,,,154.07128779999766,,,,,,,,,,,,,,,,,,clip_weißt_05_sub_0,clips/clip_weißt_05_sub_0.mp4,audios/clip_weißt_05_sub_0.mp3,audiovisual,sub,True,154.06515949999812,154.07128779999766,154.456717699999,154.65591119999954,154.65591119999954,154.65676276666662,,164.5789651999985,164.45733090000067,[],3,164.57204379999894,164.5789651999985,164.5789651999985,164.5789651999985,175.9558459999971,3,11.366226599999209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,11,11,0,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,wurst,sub,1,9,3666.0,NA,11267,Wer sind die alten Menschen wahrscheinlich?,Großeltern,Eltern,Geschwister,Nachbarn,None,,,,,,,,,,,,,0,11,11,10,,,,,176.08508319999964,,,,,,,,,,,,,,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,176.0795431000006,176.08508319999964,176.45756939999774,176.6570888999995,176.6570888999995,176.65742296666602,186.58877139999822,186.68430420000004,186.59007559999736,[9.497997500002384],,186.67693599999984,,,,186.6769725999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6770503000007,186.68430420000004,191.77507519999926,191.6727460999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,001,2026-04-01_17h59.32.359,exp_sofc,,2025.2.3,59.925811845544914,2026-04-01 17h59.32.848560 +0200,
