instruction_text,thisN,thisTrialN,thisRepN,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.duration,clip_file,clip_path,sound_path,movie,subtitles,n_cut,clip_num,first_cut,second_cut,clip_duration,attention_check_question,attention_check_correct,attention_check_distractor_1,attention_check_distractor_2,attention_check_distractor_3,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,instruction_trials.thisRepN,instruction_trials.thisTrialN,instruction_trials.thisN,instruction_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,instructions.started,text_instruction.started,key_resp_instruction.started,instructions.stopped,instruction_trials.key_resp_instruction.keys,instruction_trials.key_resp_instruction.rt,instruction_trials.key_resp_instruction.duration,informed_consent.started,slider_informed_consent.started,text_informed_consent.started,informed_consent.stopped,slider_informed_consent.response,slider_informed_consent.rt,begin_practice.started,begin_practice_text.started,begin_practice.stopped,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,practice_clip.started,prac_feedback.started,prac_fixation_cross.started,prac_fixation_cross.stopped,prac_clip.started,prac_sound.started,prac_clip.stopped,practice_clip.stopped,prac_all_cut_rts,practice_attention_check.started,practice_attention_check.stopped,practice_trials.prac_attention_resp.keys,prac_sound.stopped,Practice_correct_key_required,prac_attention_resp.started,prac_question.started,prac_options.started,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,begin_experiment.started,begin_experiment_text.started,begin_experiment.stopped,video_used,audio_used,condition_modality,experiment_clip.started,exp_fixation_cross.started,exp_fixation_cross.stopped,exp_clip.started,exp_sound.started,exp_sound.stopped,exp_clip.stopped,experiment_clip.stopped,all_cut_rts,experiment_attention_check.started,experiment_attention_check.stopped,experiment_trials.exp_atttention_resp.keys,experiment_pause.started,experiment_pause.stopped,experiment_trials.exp_pause_resp.keys,correct_key_required,exp_atttention_resp.started,exp_question.started,exp_options.started,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,3,3,0,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,hund,sub,0,26,NA,NA,9333,Wie wirkt die Frau?,amüsiert,hasserfüllt,traurig,ängstlich,None,,,,,,,,,,,0,3,3,3,,,,,46.56244089998654,,,,,,,,,,,,,,,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,audiovisual,nosub,False,46.555874699988635,46.56244089998654,46.93342600000324,47.13311659998726,47.13311659998726,47.13277446665258,57.21991809998872,56.999393300007796,[],57.10824880001019,57.10828019998735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,4,4,0,,,,clip_weißt_18_nosub_1,clips/clip_weißt_18_nosub_1.mp4,audios/silence.mp3,weißt,nosub,1,18,5680.0,NA,12000,Wie wirken die Personen?,überrascht,wütend,verzweifelt,gelangweilt,3,1.8217539999750443,None,,,,,,,,,0,4,4,7,,,,,57.21991809998872,,,,,,,,,,,,,,,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,visual,sub,True,57.21292630000971,57.21991809998872,57.61745950000477,57.817965399997775,57.817965399997775,57.81683216666376,66.25557499998831,66.14649119999376,[],66.25095509999665,68.09249479998834,3,59.068323599989526,3,66.25557499998831,66.25557499998831,66.25557499998831,1.8217539999750443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,5,5,0,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,hund,sub,1,31,1966.0,NA,8433,Welche Tageszeit ist es?,abends,morgens,mittags,nachts,None,,,,,,,,,,,0,5,5,9,,,,,68.21048320000409,,,,,,,,,,,,,,,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,audiovisual,nosub,False,68.20546729999478,68.21048320000409,68.59473270000308,68.79341640000348,68.79341640000348,68.79436796665347,79.87826930001029,79.67776719998801,[],79.7804388999939,79.78047009999864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,6,6,0,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,weißt,nosub,0,21,NA,NA,10080,Wo stehen die Personen?,am Balkongeländer,am Strand,an einer Bushaltestelle,im Wald,4,0.918763299996499,None,,,,,,,,,0,6,6,1,,,,,79.87826930001029,,,,,,,,,,,,,,,,,,clip_weißt_21_nosub_0,clips/clip_weißt_21_nosub_0.mp4,audios/silence.mp3,visual,nosub,True,79.87140040000668,79.87826930001029,80.28602780000074,80.48697810000158,80.48697810000158,80.48754936666616,90.70113160001347,90.58613400001195,[],90.69573899998795,91.62031870000646,4,81.73874299999443,4,90.70113160001347,90.70113160001347,90.70113160001347,0.918763299996499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,7,7,0,,,,clip_hund_28_nosub_0,clips/clip_hund_28_nosub_0.mp4,audios/clip_hund_28_nosub_0.mp3,hund,nosub,0,28,NA,NA,9840,Was steht auf dem Tisch vor den Personen?,Weinflasche mit Gläsern,Wasser,Bier,Kaffee,None,,,,,,,,,,,0,7,7,4,,,,,91.75636490000761,,,,,,,,,,,,,,,,,,clip_hund_31_sub_0,clips/clip_hund_31_sub_0.mp4,audios/silence.mp3,visual,sub,False,91.74897179999971,91.75636490000761,92.1237329999858,92.32496359999641,92.32496359999641,92.32320436666875,101.01662509999005,100.78697310001007,[],100.89115250000032,100.8911872000026,None,93.57485999999335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,8,8,0,,,,clip_hund_25_sub_1,clips/clip_hund_25_sub_1.mp4,audios/silence.mp3,hund,sub,1,25,5466.0,NA,8300,Mit was essen die Personen?,mit ihren Händen,mit Messer und Gabel,mit Stäbchen,mit einem Löffel,None,,,,,,,,,,,0,8,8,11,,,,,101.01662509999005,,,,,,,,,,,,,,,,,,clip_weißt_09_sub_1,clips/clip_weißt_09_sub_1.mp4,audios/silence.mp3,visual,sub,False,101.00946659999317,101.01662509999005,101.4036255000101,101.60449369999697,101.60449369999697,101.60498846666111,110.85682049999014,110.63640099999611,[2.7140729000093415],110.73542819998693,110.73546379999607,None,102.85613770000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,9,9,0,,,,clip_weißt_10_nosub_1,clips/clip_weißt_10_nosub_1.mp4,audios/clip_weißt_10_nosub_1.mp3,weißt,nosub,1,10,4280.0,NA,11000,Was macht der Mann?,er greift an den Fernseher,er schaltet das Radio ein,er wirft eine Flasche,er öffnet das Fenster,None,,,,,,,,,,,0,9,9,6,,,,,110.85682049999014,,,,,,,,,,,,,,,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,audiovisual,sub,False,110.85048719999031,110.85682049999014,111.23635990000912,111.43629489999148,111.43629489999148,111.43708346668087,121.57715699999244,121.37044400000013,[],121.47067969999625,121.47076580001158,None,121.36937609998859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,10,10,0,,,,clip_hund_06_nosub_0,clips/clip_hund_06_nosub_0.mp4,audios/clip_hund_06_nosub_0.mp3,hund,nosub,0,6,NA,NA,10860,Wie sieht das Studio aus?,unaufgeräumt,sehr ordentlich,komplett leer,stark überfüllt,None,,,,,,,,,,,0,10,10,2,,,,,121.57715699999244,,,,,,,,,,,,,,,,,,clip_hund_26_sub_1,clips/clip_hund_26_sub_1.mp4,audios/silence.mp3,visual,sub,False,121.57033849999425,121.57715699999244,121.9783948000113,122.17811700000311,122.17811700000311,122.17792056667192,131.75574069999857,131.54319070000201,[],131.63678639999125,131.636823000008,None,123.42987779999385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,11,11,0,,,,clip_hund_02_sub_1,clips/clip_hund_02_sub_1.mp4,audios/clip_hund_02_sub_1.mp3,hund,sub,1,2,8300.0,NA,9900,Welche Farbe hat der Pullover der Frau?,grün,schwarz,blau,rot,None,,,,,,,,,,,0,11,11,8,,,,,131.75574069999857,,,,,,,,,,,,,,,,,,clip_wurst_09_sub_1,clips/clip_wurst_09_sub_1.mp4,audios/clip_wurst_09_sub_1.mp3,audiovisual,sub,False,131.75039179998566,131.75574069999857,132.1408868000144,132.3399231999938,132.3399231999938,132.34010406665428,143.72845980001148,143.62567179999314,[],143.7221620999917,143.7222257000103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.72237229999155,143.72845980001148,148.7244645000028,,,,,,,,,,,,,,,,,,,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,0,0,0,0,148.81066369998734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_07_sub_1.mp4,audios/silence.mp3,visual,148.80521910000243,149.22787569998764,149.42954199999804,149.42954199999804,149.42836606665904,150.6800452999887,161.24771409999812,161.04742680001073,[],161.14706479999586,161.1470993999974,None,161.1471360999858,161.1471606999985,None,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,1,0,1,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,1,0,1,0,161.24771409999812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_wurst_10_sub_2.mp4,audios/silence.mp3,visual,161.24154519999865,161.6562028999906,161.8571121999994,161.8571121999994,161.85574986666714,163.10805400001118,170.87874720001128,170.65309279999929,[],170.75854609999806,170.75857760000508,None,170.75861049999367,170.75863050000044,None,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,2,0,2,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,2,0,2,0,170.87874720001128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_holo_04_sub_2.mp4,audios/silence.mp3,visual,170.8743366000126,171.27136109999265,171.47156090001226,171.47156090001226,171.4715982666569,172.72270760001265,183.68443090000073,183.49052870000014,[],183.58149429998593,183.58154089999152,None,183.58158840000397,183.5816036000033,None,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,3,0,3,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,3,0,3,0,183.68443090000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_22_nosub_1.mp4,audios/silence.mp3,visual,183.6782293000142,184.0823636999994,184.28260659999796,184.28260659999796,184.28230566665687,185.53558150000754,194.52068899999722,194.3155196000007,[],194.41391169998678,194.41397439999855,None,194.4140161999967,194.4140875999874,None,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,4,0,4,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,4,0,4,0,194.52068899999722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_16_sub_1.mp4,audios/silence.mp3,visual,194.51449339999817,194.9241261999996,195.1252528000041,195.1252528000041,195.12501196665497,196.3762899999856,206.1761095999973,205.99294329999248,[],206.0757190999866,206.07578859999194,None,206.075863200007,206.0758882999944,None,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,5,0,5,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,5,0,5,0,206.1761095999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_hund_08_sub_1.mp4,audios/silence.mp3,visual,206.17011790000834,206.57587930001318,206.7772643000062,206.7772643000062,206.77672426667803,208.02804020000622,217.02798010001425,216.80985550000332,[],216.90645400001085,216.90649279998615,None,216.90652769998997,216.9065455000091,None,,,,,,,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,6,0,6,,,,,,,,,,,,,,,,,,,,,,4,None,3.003159100015182,None,,,,,,,,,6,0,6,0,217.02798010001425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_claude_10_nosub_0.mp4,audios/clip_claude_10_nosub_0.mp3,audiovisual,217.0223127999925,217.40929939999478,217.6108060000115,217.6108060000115,217.61045246667734,228.82701810001163,228.9494577999867,228.82718650001334,[],228.94245750000118,231.96585599999526,4,231.96591759999865,231.9659459000104,None,4,228.9494577999867,228.9494577999867,228.9494577999867,3.003159100015182,None,352287,001,2026-03-30_16h22.16.404,exp_sofc,,2025.2.3,59.8861564247195,2026-03-30 16h22.17.134220 +0200,
,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,232.0591293000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clips/clip_dampf_02_nosub_1.mp4,audios/silence.mp3,visual,232.05222929999582,232.47480850000284,232.67590729999938,232.67590729999938,232.6753869666757,233.92668070000946,,,,,,,,,,,,,,,,,,,,,,,,
